,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
3197,Beyoncé,Sorry,232560,1,2016,67,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,pop
3198,Beyoncé,Sorry,232560,1,2016,67,0.775,0.598,2,-7.274,1,0.0535,0.00175,4.44e-06,0.253,0.356,129.988,R&B
3199,Little Mix,Shout Out to My Ex,246240,0,2017,1,0.773,0.747,5,-4.061,1,0.0889,0.0239,8.23e-06,0.11,0.8,126.014,pop
3200,The Lumineers,Ophelia,160097,0,2016,0,0.664,0.576,5,-6.429,1,0.0286,0.63,0.000198,0.0902,0.621,76.026,pop
3201,The Lumineers,Ophelia,160097,0,2016,0,0.664,0.576,5,-6.429,1,0.0286,0.63,0.000198,0.0902,0.621,76.026,Folk/Acoustic
3202,Frank Ocean,Pink + White,184516,0,2016,79,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,hip hop
3203,Frank Ocean,Pink + White,184516,0,2016,79,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,pop
3204,Frank Ocean,Pink + White,184516,0,2016,79,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-05,0.415,0.554,159.738,R&B
3205,Drake,Too Good,263373,1,2016,74,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996,hip hop
3206,Drake,Too Good,263373,1,2016,74,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996,pop
3207,Drake,Too Good,263373,1,2016,74,0.794,0.653,7,-7.839,1,0.104,0.0489,4.88e-05,0.1,0.397,117.996,R&B
3208,Ed Sheeran,Shape of You,233712,0,2017,84,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,pop
3209,Sean Paul,No Lie,221176,0,2018,84,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,hip hop
3210,Sean Paul,No Lie,221176,0,2018,84,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,pop
3211,Luis Fonsi,Despacito (Featuring Daddy Yankee),228200,0,2017,0,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,pop
3212,Luis Fonsi,Despacito (Featuring Daddy Yankee),228200,0,2017,0,0.66,0.786,2,-4.757,1,0.17,0.209,0.0,0.112,0.846,177.833,latin
3213,Sam Smith,Too Good At Goodbyes,201000,0,2017,79,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,pop
3214,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),251088,0,2016,75,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,pop
3215,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),251088,0,2016,75,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,Dance/Electronic
3216,Camila Cabello,Havana (feat. Young Thug),216896,0,2017,1,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,pop
3217,Imagine Dragons,Thunder,187146,0,2017,1,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,rock
3218,Maroon 5,Don't Wanna Know (feat. Kendrick Lamar),214265,0,2018,68,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,pop
3219,The Chainsmokers,Something Just Like This,247160,0,2017,83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,pop
3220,The Chainsmokers,Something Just Like This,247160,0,2017,83,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,Dance/Electronic
3221,Ed Sheeran,Perfect,263400,0,2017,85,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,pop
3222,MGMT,Little Dark Age,299960,0,2018,81,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,rock
3223,Travis Scott,goosebumps,243836,1,2016,83,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,hip hop
3224,Travis Scott,goosebumps,243836,1,2016,83,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,Dance/Electronic
3225,Billie Eilish,Bored,180933,0,2017,84,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,pop
3226,Billie Eilish,Bored,180933,0,2017,84,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,Dance/Electronic
3227,Future,Mask Off,204600,1,2017,79,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,hip hop
3228,Future,Mask Off,204600,1,2017,79,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,pop
3229,G-Eazy,Him & I,268866,1,2017,0,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,hip hop
3230,G-Eazy,Him & I,268866,1,2017,0,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,pop
3231,Maroon 5,Cold (feat. Future),234308,1,2017,0,0.697,0.716,9,-6.288,0,0.113,0.118,0.0,0.0424,0.506,99.905,pop
3232,Rae Sremmurd,Swang,208120,1,2016,75,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,hip hop
