,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2544,177506,81,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.269,0.428,89.938
2100,195105,0,0.726,0.931,-4.152,0.0468,0.0218,0.000283,0.143,0.797,126.976
2995,238800,0,0.561,0.877,-2.215,0.0659,0.00621,8.11e-06,0.28,0.375,130.003
1649,314720,62,0.285,0.462,-6.166,0.0291,0.428,5.61e-06,0.122,0.0923,142.365
2690,193295,66,0.697,0.621,-6.886,0.25,0.0802,0.0,0.162,0.721,81.946
513,245133,73,0.839,0.706,-6.104,0.199,0.208,0.0,0.242,0.839,96.673
1774,212106,3,0.657,0.695,-4.493,0.0321,0.0108,0.0,0.0822,0.683,65.997
375,237493,75,0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931
1048,270746,59,0.555,0.639,-5.16,0.263,0.0594,0.0,0.118,0.184,171.609
2643,232720,79,0.647,0.822,-4.662,0.183,0.219,0.0,0.0908,0.962,160.019
660,234800,48,0.853,0.752,-8.831,0.339,0.178,4.65e-06,0.0553,0.935,104.946
2717,245866,76,0.729,0.675,-6.003,0.0312,0.175,1.58e-06,0.55,0.779,119.968
2417,206666,58,0.831,0.667,-8.438,0.188,0.0103,0.0,0.35,0.339,95.073
135,241373,64,0.634,0.886,-5.424,0.0434,0.154,0.0,0.118,0.577,93.04
2431,205933,77,0.56,0.872,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05
1638,212360,53,0.383,0.703,-5.65,0.0763,0.00116,2.39e-05,0.112,0.42,135.968
924,223440,76,0.662,0.507,-8.238,0.118,0.257,0.0,0.0465,0.676,86.412
456,237359,43,0.786,0.614,-6.554,0.0574,0.00616,0.0,0.049,0.742,103.887
2666,247266,69,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093
2903,219305,73,0.781,0.728,-4.981,0.0621,0.0509,1.94e-06,0.257,0.395,102.99
597,287226,59,0.405,0.589,-7.51,0.0586,0.252,0.0,0.661,0.808,83.373
2533,223800,60,0.693,0.822,-5.441,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
1195,286186,68,0.833,0.628,-7.041,0.141,0.0949,1.6e-06,0.282,0.645,106.328
2563,234506,70,0.695,0.869,-5.066,0.0483,0.41,0.0,0.237,0.58,124.989
3254,238586,69,0.804,0.886,-2.512,0.04,0.0837,0.0,0.266,0.789,144.946
1081,198973,59,0.548,0.889,-4.682,0.0382,0.00165,0.00109,0.197,0.425,90.048
405,236426,59,0.74,0.845,-3.802,0.0338,0.00287,6.23e-06,0.115,0.749,126.607
1448,178613,59,0.716,0.757,-5.438,0.0329,0.0258,0.00392,0.16,0.877,139.986
3396,232959,73,0.884,0.559,-7.442,0.12,0.0236,0.0,0.101,0.342,97.994
1273,288360,63,0.707,0.923,-3.409,0.0276,0.0195,0.0,0.342,0.845,108.023
2312,279026,62,0.535,0.796,-3.446,0.0445,0.00473,0.0,0.145,0.282,128.954
1236,214706,65,0.45,0.883,-4.094,0.0524,0.00193,0.0,0.293,0.328,93.41
2152,215693,70,0.668,0.857,-2.944,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959
3524,214466,68,0.899,0.586,-7.866,0.343,0.279,0.0,0.0836,0.492,150.002
1393,253573,62,0.607,0.599,-6.886,0.0995,0.33,0.0,0.199,0.562,86.491
821,245173,53,0.779,0.655,-7.147,0.318,0.0319,2.63e-06,0.339,0.645,163.971
323,329933,65,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525
1809,255360,58,0.557,0.783,-4.893,0.234,0.0171,0.0172,0.151,0.442,177.008
96,257360,59,0.348,0.532,-5.882,0.0331,0.592,0.0,0.106,0.148,129.297
3030,258266,82,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027
1239,234133,62,0.786,0.511,-6.66,0.286,0.0825,0.0,0.12,0.587,80.0
3060,217603,70,0.617,0.567,-4.188,0.0828,0.0584,0.0,0.0933,0.505,90.246
1224,207613,49,0.715,0.812,-5.758,0.062,0.175,0.000134,0.044,0.554,128.04
777,221226,60,0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,136.027
1158,276786,55,0.819,0.485,-6.45,0.0756,0.0176,0.0,0.658,0.386,96.998
1104,258920,67,0.515,0.876,-3.756,0.0292,0.000932,0.000166,0.136,0.385,145.916
3562,217466,79,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066
2614,204360,66,0.551,0.833,-5.217,0.03,0.0391,2.77e-06,0.0632,0.145,129.885
587,215480,69,0.801,0.645,-6.93,0.0356,0.0457,0.0,0.0357,0.824,110.01
809,267320,56,0.718,0.786,-5.76,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916
3181,202661,62,0.598,0.496,-9.309,0.0804,0.0253,0.00132,0.12,0.725,128.06
2238,223053,73,0.636,0.831,-3.945,0.182,0.0294,3.85e-06,0.272,0.668,175.015
566,225426,50,0.669,0.873,-4.315,0.0494,0.00204,0.0,0.137,0.827,88.029
2332,234693,66,0.616,0.862,-5.18,0.0973,0.00117,0.0,0.179,0.569,127.992
3233,208120,75,0.681,0.314,-9.319,0.0581,0.2,9.82e-06,0.1,0.166,139.992
3477,176133,72,0.754,0.805,-4.249,0.0752,0.315,0.0,0.203,0.555,93.982
2620,266600,79,0.457,0.757,-5.177,0.032,0.0206,0.0,0.146,0.417,102.961
2505,279506,68,0.797,0.608,-6.096,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999
1037,266066,39,0.892,0.628,-3.832,0.216,0.169,0.0,0.102,0.676,92.063
2531,277687,54,0.665,0.844,-6.164,0.0501,0.00963,0.000215,0.311,0.902,119.978
2834,176561,73,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
3258,177184,76,0.886,0.427,-10.028,0.145,0.0312,0.00099,0.0906,0.23,108.034
1596,177826,78,0.55,0.917,-3.159,0.0638,0.00428,0.0,0.197,0.601,126.115
730,267933,63,0.758,0.957,-2.281,0.0357,0.039,0.0,0.133,0.966,111.121
195,254640,62,0.637,0.929,-6.03,0.0447,0.063,0.00796,0.318,0.604,136.482
2062,253906,65,0.637,0.69,-3.214,0.0693,0.417,0.0,0.211,0.103,140.329
1431,256426,57,0.775,0.731,-5.446,0.134,0.189,0.0,0.129,0.821,131.105
1597,177826,78,0.55,0.917,-3.159,0.0638,0.00428,0.0,0.197,0.601,126.115
590,217586,70,0.761,0.899,-3.09,0.183,0.0135,0.0,0.0719,0.673,95.027
1896,202613,80,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036,0.816,119.975
2641,208960,57,0.457,0.948,-3.364,0.0354,0.0191,0.0,0.0536,0.878,148.0
679,299146,67,0.893,0.74,-4.936,0.132,0.299,0.0,0.0881,0.963,101.025
2870,177560,65,0.654,0.832,-4.164,0.0293,0.0126,0.0901,0.102,0.407,123.002
694,260333,67,0.53,0.768,-5.611,0.0284,0.00385,0.0,0.103,0.374,148.095
840,242746,49,0.656,0.513,-8.691,0.253,0.156,6.45e-05,0.0763,0.464,86.891
2599,214147,74,0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435
3316,226720,57,0.486,0.713,-3.949,0.0524,0.0853,0.0,0.0839,0.297,121.028
3140,203686,59,0.588,0.702,-4.271,0.0496,0.104,0.0,0.089,0.429,124.909
2590,223546,73,0.554,0.772,-4.821,0.0418,0.00487,6.6e-06,0.354,0.455,179.984
1365,221933,74,0.736,0.74,-2.18,0.0786,0.515,0.0,0.0468,0.803,140.141
349,254400,59,0.933,0.561,-5.961,0.122,0.0275,0.0,0.102,0.586,139.976
2367,203200,61,0.929,0.339,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986
296,257200,60,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.06,0.827,132.493
491,262226,61,0.727,0.515,-6.553,0.0289,0.241,3.74e-06,0.124,0.695,89.488
1907,188000,62,0.615,0.913,-5.077,0.0816,0.178,0.0,0.0773,0.45,129.944
2342,248133,76,0.706,0.89,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011
3672,199427,69,0.872,0.814,-4.568,0.155,0.00485,1.96e-06,0.214,0.57,98.985
178,287000,68,0.865,0.664,-6.822,0.108,0.00689,0.0,0.142,0.565,162.831
2403,219720,59,0.622,0.469,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019
1493,235693,53,0.344,0.921,-3.049,0.0459,0.00143,1.13e-05,0.38,0.396,126.766
458,242586,26,0.771,0.665,-3.954,0.035,0.0135,0.0123,0.0903,0.844,115.142
2004,201586,63,0.785,0.498,-6.977,0.0533,0.00248,1.23e-06,0.224,0.418,143.96
2229,222186,62,0.779,0.963,-2.125,0.0399,0.0334,0.493,0.664,0.759,127.941
975,214226,72,0.925,0.659,-4.763,0.231,0.206,7.88e-05,0.279,0.71,97.018
2105,284866,79,0.73,0.777,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130.0
2207,238693,69,0.392,0.839,-1.921,0.193,0.158,0.0,0.3,0.232,168.001
3373,198973,81,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169
3498,221653,1,0.777,0.779,-4.449,0.0972,0.0543,0.0,0.636,0.768,94.023
1387,208106,73,0.644,0.939,-3.486,0.0456,0.157,0.0,0.233,0.861,106.031
938,191826,57,0.553,0.756,-4.583,0.108,0.0923,0.0,0.215,0.605,94.487
164,274800,64,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852
1237,234133,62,0.786,0.511,-6.66,0.286,0.0825,0.0,0.12,0.587,80.0
3037,239853,67,0.603,0.725,-3.054,0.0393,0.174,0.0,0.0786,0.304,122.803
478,201480,45,0.783,0.726,-8.718,0.106,0.0903,2.53e-06,0.363,0.784,148.062
1145,214946,71,0.407,0.558,-13.609,0.0552,0.0541,1.51e-06,0.34,0.777,71.815
1959,207653,57,0.656,0.931,-4.188,0.0981,0.0613,0.0,0.219,0.534,91.881
1513,184400,74,0.653,0.604,-6.017,0.0278,0.0292,0.0,0.097,0.101,118.016
1024,226863,67,0.904,0.813,-7.105,0.121,0.0311,0.00697,0.0471,0.81,125.461
2402,231840,74,0.758,0.557,-4.568,0.034,0.0117,0.0,0.0418,0.781,126.986
2030,221253,70,0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036
2363,192866,0,0.582,0.894,-6.298,0.041,0.0022,0.0223,0.0664,0.0694,125.946
1623,171226,55,0.852,0.927,-4.497,0.0581,0.0109,0.00268,0.054,0.887,107.993
1280,261053,35,0.474,0.744,-5.386,0.0341,0.0208,1.22e-06,0.209,0.238,129.005
776,221226,60,0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,136.027
155,348893,54,0.724,0.416,-8.964,0.0841,0.365,0.0,0.0969,0.578,151.181
1396,193893,73,0.611,0.95,-3.509,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078
1924,257560,61,0.597,0.517,-6.963,0.365,0.179,0.0,0.307,0.412,92.035
2271,253746,69,0.545,0.649,-4.062,0.0324,0.143,1.57e-05,0.0894,0.297,99.099
3036,239853,67,0.603,0.725,-3.054,0.0393,0.174,0.0,0.0786,0.304,122.803
2487,248413,83,0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047
1046,238746,52,0.636,0.946,-4.683,0.332,0.115,3.75e-05,0.0416,0.891,125.085
1821,198440,77,0.871,0.701,-5.594,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
444,228240,75,0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075
2851,260173,85,0.588,0.521,-9.461,0.0329,0.0678,0.149,0.123,0.337,85.012
2742,238426,66,0.736,0.761,-5.449,0.0338,0.0966,0.0,0.0823,0.114,119.999
3697,174960,1,0.58,0.653,-3.818,0.0745,0.447,0.0,0.111,0.175,150.231
255,231213,60,0.872,0.868,-3.036,0.12,0.153,2.26e-05,0.843,0.822,105.005
504,214306,60,0.555,0.496,-6.136,0.028,0.333,0.0,0.0956,0.27,79.01
657,339546,71,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961
689,208386,38,0.85,0.862,-3.587,0.138,0.0733,0.00144,0.0936,0.908,130.036
1645,240760,61,0.648,0.801,-7.24,0.167,0.154,0.0,0.339,0.807,78.946
3317,204173,72,0.671,0.672,-3.094,0.0688,0.0329,0.0,0.118,0.632,97.979
1536,299333,69,0.829,0.428,-9.469,0.0831,0.056,0.00413,0.137,0.45,148.075
2867,212640,76,0.738,0.868,-4.373,0.0731,0.0392,0.00169,0.388,0.336,122.003
2513,177685,56,0.76,0.652,-7.321,0.232,0.0348,0.0,0.307,0.759,100.315
2755,243386,66,0.718,0.792,-3.519,0.105,0.0467,3.65e-06,0.0399,0.96,90.949
1000,239773,62,0.69,0.928,-2.76,0.061,0.00937,0.0,0.547,0.604,130.889
535,242000,47,0.38,0.725,-6.094,0.0365,0.00571,0.00015,0.3,0.202,130.581
2806,204280,80,0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654
3302,194896,67,0.548,0.65,-5.827,0.0591,0.219,0.0,0.225,0.557,144.937
